nodeId,joinsLegs,longitude,latitude
343848,3,-2.591556,51.426033
343856,4,-2.576469,51.422837
343858,3,-2.570667,51.426324
343862,2,-2.572774,51.425445
343884,3,-2.629516,51.421752
343887,3,-2.612765,51.434139
343888,3,-2.617487,51.434845
343889,3,-2.617493,51.434197
343893,3,-2.610670,51.433230
371921,3,-2.507908,51.418532
371952,3,-2.516619,51.423292
371964,3,-2.516016,51.426504
372003,3,-2.499559,51.447340
372079,3,-2.499361,51.447837
372101,3,-2.482796,51.470373
372102,3,-2.482002,51.470915
372103,3,-2.482818,51.471055
372104,3,-2.483010,51.470955
372132,3,-2.470494,51.491938
372137,3,-2.480300,51.498769
372138,3,-2.480203,51.498772
372139,3,-2.479823,51.499449
570193,3,-2.490147,51.419496
608419,3,-2.629916,51.471528
608425,4,-2.624333,51.474391
608433,4,-2.619291,51.478414
608434,3,-2.620186,51.479455
608435,3,-2.616721,51.479288
608438,3,-2.616818,51.476932
608442,3,-2.623441,51.481072
608443,4,-2.618248,51.479521
608444,3,-2.617056,51.479533
608445,3,-2.624310,51.481746
610896,3,-2.622766,51.518044
610899,3,-2.622495,51.518139
1698354,3,-2.622179,51.458804
1698355,3,-2.621756,51.458977
1698357,3,-2.622221,51.459771
1707164,2,-2.626470,51.455472
1707165,2,-2.628897,51.454504
16268318,4,-2.474821,51.459707
16268319,3,-2.477654,51.460116
16777191,3,-2.490078,51.505616
16777197,3,-2.485588,51.515117
16777203,3,-2.489955,51.505157
16777204,2,-2.489911,51.505524
16777207,3,-2.490634,51.505156
16777208,3,-2.490665,51.505537
16777210,3,-2.490595,51.505133
16777226,3,-2.526313,51.505243
16777228,3,-2.526742,51.504671
16777241,2,-2.513340,51.502745
16777250,3,-2.509561,51.501781
16777455,3,-2.488024,51.505008
16777925,2,-2.480859,51.499145
16777937,3,-2.480378,51.499557
16901685,3,-2.540273,51.505674
16901701,3,-2.544422,51.504941
16901702,4,-2.544686,51.504748
16901710,3,-2.547329,51.504618
16901752,3,-2.544378,51.500472
16901755,3,-2.544470,51.500062
16901759,3,-2.543686,51.500308
16901771,3,-2.544794,51.503124
16901775,3,-2.544587,51.504155
16901868,3,-2.555189,51.507047
16901871,3,-2.554453,51.506908
16901874,3,-2.554371,51.506807
16901879,3,-2.554796,51.506093
16901887,3,-2.553031,51.505736
16901917,4,-2.563983,51.508056
16901918,4,-2.563960,51.508156
16901923,2,-2.562202,51.507695
16901946,3,-2.566019,51.505861
16901949,3,-2.565079,51.506931
16902073,2,-2.550236,51.508476
16902099,3,-2.546399,51.514637
16902110,3,-2.550647,51.511544
16902116,3,-2.547144,51.513555
16902119,3,-2.546345,51.515465
16902148,3,-2.544511,51.514294
16902151,2,-2.543794,51.514565
16902223,3,-2.542028,51.514818
16902231,3,-2.540172,51.514366
16916588,3,-2.571304,51.467431
16916591,3,-2.569465,51.467130
17014570,3,-2.571281,51.459359
17014571,3,-2.570334,51.459205
17014583,3,-2.570486,51.458208
17014592,3,-2.571806,51.459115
17014599,3,-2.570133,51.458292
17014772,3,-2.578296,51.458660
17014781,3,-2.577032,51.460655
17014788,3,-2.576244,51.462803
17014790,3,-2.574189,51.464151
17014854,2,-2.566338,51.458865
17014931,3,-2.588079,51.456354
17015041,3,-2.592994,51.454940
17020015,3,-2.560185,51.446227
17020019,3,-2.560518,51.446595
17020023,2,-2.561765,51.447961
17020043,2,-2.568512,51.452847
17020051,3,-2.569989,51.454852
17020062,3,-2.559719,51.444710
17020070,2,-2.559623,51.444887
17020072,3,-2.559209,51.444993
17020702,4,-2.570940,51.457321
17020703,2,-2.570598,51.456754
17020705,4,-2.569632,51.454144
17020817,3,-2.550504,51.468655
17020825,3,-2.540720,51.473399
17020872,3,-2.529848,51.477550
17020988,2,-2.504498,51.479014
17022370,3,-2.582786,51.447547
17022376,3,-2.581691,51.447367
17022390,4,-2.582720,51.447442
17022792,2,-2.582053,51.447015
17022820,3,-2.584930,51.445464
17022837,3,-2.590791,51.445228
17022841,3,-2.590598,51.445659
17022883,3,-2.584483,51.445032
17023163,2,-2.581569,51.447045
17023332,2,-2.591358,51.445978
17023337,2,-2.591690,51.445627
17023361,3,-2.591203,51.446033
17023364,3,-2.591811,51.445205
17028598,3,-2.584283,51.448739
17028735,3,-2.587815,51.451930
17028875,3,-2.582515,51.448991
17028949,2,-2.592446,51.449571
17028951,2,-2.592455,51.449517
17028989,3,-2.589059,51.452662
17029030,3,-2.585975,51.454173
17029031,4,-2.587384,51.453690
17029032,3,-2.588336,51.453192
17029065,3,-2.590476,51.453276
17029066,3,-2.590792,51.453118
17029105,3,-2.590146,51.449225
17029112,3,-2.589878,51.449006
17029114,3,-2.589979,51.448828
17029119,3,-2.590160,51.448754
17029134,3,-2.590495,51.449201
17029138,3,-2.590680,51.448987
17392962,3,-2.560204,51.475202
17392972,3,-2.560374,51.474534
17392986,3,-2.561276,51.474732
17392987,3,-2.561136,51.475195
17392989,3,-2.560986,51.475274
17392990,2,-2.561141,51.474588
17392993,3,-2.559409,51.474763
17392994,3,-2.564173,51.474654
17392995,3,-2.564019,51.474532
17393004,3,-2.562382,51.475107
17393005,3,-2.562242,51.474837
17393012,3,-2.563219,51.475197
17393014,4,-2.562811,51.474793
17393017,2,-2.564354,51.473410
17393018,2,-2.564538,51.473326
