nodeId,joinsLegs,longitude,latitude
1365297171,3,0.138189,52.235719
1365297188,3,0.140229,52.228638
1367185383,3,0.110602,52.240988
1367185384,3,0.112541,52.239513
1367185386,3,0.111617,52.237825
1367185393,4,0.112125,52.238811
1367185396,3,0.111975,52.238178
1367185398,3,0.110458,52.239708
1367185413,4,0.111892,52.238193
1367185415,3,0.110362,52.239978
1367185418,2,0.110371,52.239441
1367185427,0,0.112991,52.241254
1367185429,3,0.110294,52.239744
1367185434,0,0.112956,52.241543
1367185436,2,0.112478,52.239486
1367185452,2,0.110585,52.236864
1367185457,3,0.110452,52.240201
1367185465,3,0.110579,52.240770
1367185475,3,0.112396,52.239326
1367185478,3,0.110355,52.239731
1367185479,4,0.110121,52.238644
1367185488,1,0.108316,52.246196
1367185494,1,0.112288,52.238259
1367909413,1,0.198797,52.211818
1367909415,3,0.198922,52.212159
1367909417,3,0.206460,52.212272
1367909431,3,0.206853,52.212307
1367909433,3,0.206021,52.212357
1367909434,4,0.206012,52.212425
1367909436,4,0.206895,52.212444
1367909437,1,0.206027,52.212568
1367909438,1,0.206855,52.212588
1367909440,3,0.209489,52.212885
1367909446,1,0.209356,52.213094
1367909450,2,0.208751,52.214383
1367909485,3,0.216809,52.215947
1367909488,3,0.216617,52.216015
1368104361,1,0.108829,52.245989
1368104425,3,0.109296,52.245552
1368104437,1,0.108880,52.245423
1368104516,1,0.108967,52.245855
1368104562,3,0.109459,52.245830
1368104565,1,0.109407,52.245308
1368104658,3,0.109334,52.246020
1368104830,2,0.108617,52.247827
1368104882,3,0.108955,52.245598
1370429756,3,0.109859,52.240280
1370429796,1,0.111072,52.241583
1370429797,1,0.110318,52.243283
1370429798,1,0.109862,52.240397
1370429801,3,0.110598,52.243166
1370429805,3,0.110917,52.241361
1370429807,1,0.109792,52.240221
1370429810,3,0.110236,52.243953
1370429820,3,0.110637,52.241925
1370429827,3,0.112352,52.238280
1370429843,1,0.111083,52.241846
1370429844,1,0.111021,52.243938
1370429851,3,0.110478,52.240298
1370429861,1,0.112205,52.238034
1370429862,1,0.109921,52.242194
1370429863,3,0.110631,52.241816
1370429868,3,0.111525,52.243549
1370429870,3,0.112106,52.236629
1370429871,1,0.111045,52.243846
1370583001,2,0.133581,52.237349
1370583006,3,0.127552,52.241065
1370583022,2,0.130529,52.240276
1370583023,1,0.106328,52.239344
1370583059,3,0.096881,52.235337
1370583085,3,0.101717,52.239948
1370583114,1,0.107515,52.237881
1370583119,1,0.137546,52.239353
1370583130,1,0.128008,52.236922
1370583136,3,0.123160,52.242244
1370583175,3,0.101540,52.238276
1372110028,3,0.083405,52.240430
1372110032,1,0.083654,52.240307
1372110039,3,0.086592,52.239988
1372110042,3,0.086708,52.240177
1372110087,2,0.086746,52.240207
1372110090,2,0.086907,52.240494
1372110092,3,0.083676,52.240633
1372110127,3,0.086944,52.240256
1372110131,3,0.083780,52.240629
1372110145,3,0.083264,52.240513
1372110147,1,0.083223,52.239183
1372110178,1,0.087962,52.240108
1372110184,1,0.087825,52.239698
1372110194,1,0.087019,52.240406
1372110203,1,0.083782,52.240655
1372134746,3,0.077422,52.239147
1372134750,1,0.077113,52.239232
1372134761,1,0.084456,52.240004
1372134763,3,0.081452,52.242777
1372134767,1,0.081147,52.241603
1372134774,1,0.080581,52.242866
1372134783,3,0.079942,52.239851
1372134787,1,0.079372,52.240353
1372134796,3,0.079809,52.240419
1372134805,1,0.080243,52.241447
1372134813,1,0.086951,52.236988
1372134816,2,0.086153,52.235214
1372134822,3,0.080734,52.241251
1372134826,1,0.090757,52.226302
1372134843,1,0.082755,52.243090
1372134844,3,0.084342,52.239766
1372134846,2,0.084546,52.239725
1372134854,3,0.080441,52.240213
1372134856,1,0.079698,52.240419
1372134862,3,0.081749,52.241600
